1,makan,Positif,makan
2,minum,Positif,minum
3,hutang,Negatif,hutang
4,malas,Negatif,malas
5,sangat senang di ajarin dengan pa Verdy,Positif,sangat senang ajar
6,"cukup baik untuk mengajar, terima kasih pa sumarsono",Positif,cukup baik ajar terima kasih 
7,pa verdy sangat baik terima kasih,Positif,sangat baik terima kasih
8,Materi yangg diajarkan mudah dipahami,Positif,materi ajar mudah paham
9,Tingkatkan lagi penyajian dalam memberikan materi kepada para mahasiswa,Negatif,tingkat saji beri materi mahasiswa
10,semoga bisa lebih baik lagi dalem mengasih materi nya,Positif,moga lebih baik dalem asih materi
11,lebih rajin masuk,Negatif,lebih rajin masuk
12,Baik,Positif,baik
13,"saran aja buat di teknik apalagi anak muda Zaman sekarang klo belajar pemerintahan agak kurang, tapi untuk mendengarkan dari sebuah cerita mereka masih tertarik, saat penyampain materi diselingi cerita atau pengalaman. mereka lebih mudah memahaminya",Positif,saran aja buat teknik anak muda zaman sekarang ajar perintah kurang dengar buah cerita tarik penyampain materi seling alam lebih mudah
14,"mungkin untuk teori masih bisa di baca dibuku atau media manapun, untuk pembahasan soal yang masih susah dicari, saran aja sih saat pemberian materi lebih sering bahas soal dan latihan aja. dan pemberian tugas individu untuk latihan dirumah.",Negatif,mungkin teori baca buku media bahas soal susah cari saran aja beri materi lebih sering latih
15,"bagus, saran aja sih kedepannya banyak cerita tentang implementasi ADBO dalam kehidupan, agar lebih mudah dipahami dalam penerapannya.",Negatif,bagus saran aja depan banyak cerita implementasi adbo hidup lebih mudah paham terap
16,"saran aja sih, kedepannya sering latihan analisis dari studi kasusnya",Negatif,saran aja depan sering latih analisis studi kasus
17,"saran aja sih mungkin kedepannya Sistem operasi bisa mempelajari kelemahan system, dan pencarian celah serta cara penanganan dari serangan orang jahat",Negatif,saran aja mungkin depan sistem operasi ajar lemah sistem cari celah cara tangan serang orang jahat
18,baik tapi tidak mengerti materinya,Negatif,baik tidak erti materi
19,"secara teori mungkin saya kurang mengerti, secara praktek mungkin saya mengerti gambarannya. pemberian materi dari awal langsung menggunakan studi kasus, saya pikir itu bagus membuat pola pikir saya sedikit berubah. tapi saran aja sih kedepannya, teori yg paling umum disampaikan dahulu mungkin 2 pertemuan pertama.",Negatif,cara teori mungkin kurang erti praktek gambar beri materi awal langsung stukasus pikir bagus buat pola sedikit ubah saran aja sih depan
20,Semua sesuai,Positif,semua sesuai
21,Bagus dan baik,Positif,bagus baik
22,Ilmu yang di berikan sangat bermanfaat untuk anak murid,Positif,ilmu beri sangat manfaat anak murid
23,Sering datang terlambat,Negatif,sering datang lambat
24,Cukup,Positif,cukup
25,Penyajian terlalu cepat,Negatif,saji terlalu cepat
26,"mantap pak,lanjutkan",Positif,mantap lanjut
27,Ketepatan waktu tolong lebih di perhatikan,Negatif,tepat waktu lebih hati
28,"Cara mengajar baik tapi kurang kurangin telatnya, dosen setiap kali mengajar selalu telat, dan telatnya keterlaluan",Negatif,cara ajar baik kurang telat dosen tiap kali
29,"Sangat baik, ketepatan waktu juga sangat baik dan penyajian atau cara penyampaiannya baik",Positif,sangat baik tepat waktu
30,"Baik dalam ilmu pengetahuan, dan softskill dosen sangat baik. Dan baik dalam membantu nilai maupun skill mahasiswa",Positif,baik ilmu tahu dosen sangat bantu nilai mahasiswa
31,Buat mata kuliah lebih menarik agar mahasiswa tidak bosan dengan materi yang ibu sampaikan,Positif,buat mata kuliah lebih tarik mahasiswa bosan materi sampai
32,Untuk materi penyampaian sangat baik akan tetapi jangan terlalu sering diktat foto copyan dengan membayar dan selama 2 kali pembayaran uts dan uas. Mudah di mengerti saat menjelaskan ,Positif,materi sangat baik jangan terlalu sering diktat poto kopi bayar lama kali uts uas mudah erti
33,Terima kasih selama 1 semester ini bu,Positif,terima kasih lama semester 
34,Mudah di mengerti untuk proses pembelajaran bahan sesuai dengan materi yang di berikan saat ujian,Positif,mudah erti proses ajar bahan sesuai materi beri uji
35,Mudah di mengerti saat mengajar dan menjelaskan dosen bisa di ajak berkomunikasi melalui via wa ,Positif,mudah erti ajar jelas dosen ajak komunikasi lalu 
36,Tolong di perbaiki cara mengajarnya pak.,Positif,tolong baik cara ajar
37,Sangat bermanfaat ilmu yang di kasih untuk dunia kerja atau perkuliahan. Materi mudah di mengerti dengan penjelasan yang sangat rinci. ,Negatif,sangat manfaat ilmu kasih dunia kerja kuliah materi mudah erti jelas
38,Dosen mendiskusikan silabus dengan mahasiswa,Positif,dosen diskusi silabus mahasiswa
39,"Baik sekali. Untuk kedepannya materi yang di kasih ke mahasiswa harus ada 2 bahasa. Yaitu bahasa Indonesia dan bahasa Inggris. Jadi yang untuk tidak mengerti bahasa Inggris, maka mahasiswa membaca materi yang bahasa Indonesia. Dan untuk pembelajarannya sangat baik.",Positif,baik sekali depan materi kasih mahasiswa bahasa ada bahasa indones bahasa inggris mahasiswa baca materi bahasa indonesia untuk belajar baik
40,Dosen terbaik dan terasik saat belajar,Positif,dosen baik asik ajar
41,Perjelas dalam mengajar,Positif,jelas ajar
42,Dosen terasik dan terbaik,Positif,dosen asik baik
43,Pertahankan gaya ngajar seperti ini pak,Positif,tahan gaya ajar
44,"Saya sulit mengerti dengan pelajaran ibu , mudah2an kedepannya ibu bisa mengajarkan kepada mahasiswa dengan logika yang gampang di cerna mahasiswa tersebut.",Negatif,sulit erti ajar mudah depan bisa ajar mahasiswa logika gampang cerna mahasiswa sebut
45,Sama kan materi teori dan praktek,Negatif,sama materi teori praktek
46,Panutan saya,Positif,panutan saya
47,"Sensei mengajar dengan baik, semoga sensei tidak merubah cara mengajar sensei.",Positif,sensei ajar baik moga rubah
48,Lebih tepat waktu disaat pelajaran dimulai,Negatif,lebih tepat waktu ajar mulai
49,Tolong penyampaian materi di perbagus lagi pa,Negatif,tolong materi bagus
50,Sudah bagus dalam memberikan materi,Positif,bagus beri materi
51,Absen saya kenapa bukan 100% pak,Negatif,absen saya kenapa bukan
52,semoga dalam mengajar menjadi lebih baik,Positif,moga ajar jadi lebih baik
53,Sangat baik dalam membimbing proses belajar,Positif,sangat baik bimbing proses ajar
54,"tolong pak jangan dikit uang terus buat ngeprint atau beli modul hasil print file ppt. lebih baik kasih pptnya langsung, sayang duit pak anak malam rata2 kerja buat bayar kuliah sendiri dan kalau waktu mengajar sudah selesai tolong jangan dilama2in pak masa kita gabisa sholat, pas mau izin sholat malah dicuekin.",Negatif,tolong jangan dikit uang terus buat beli modul hasil file ppt lebih baik kasih ppt langsung sayang duit anak malam rata kerja bayar kuliah sendiri kalau waktu ajar selesai lama masa sholat mau izin sholat malah cuek
55,Tolong ajarkan cara menulis jepang,Positif,ajar cara tulis jepang
56,Materinya sedikit sulit tetapi sangat melatih daya pikir,Positif,materi sedikit sulit sangat latih daya pikir
57,"Kurangnya dosen dalam membantu mahasiswa, tetapi membuat mahasiswa ingin mencari tau sendiri",Negatif,kurang dosen bantu mahasiswa buat mahasiswa cari tau sendiri
58,"kadang cara penyampaiannya kurang saya mengerti pak, yg rata2 mengerti hanya yg sudah berpengalaman atau bekerja dibidang IT sedangkan kami yg masih noob dan bekerja belum sesuai bidang masih suka bingung dengan pembahasannya. sarannya mungkin saat menjelaskan lebih ke contoh umum pak(?)",Positif,kadang cara sampai kurang erti rata erti sudah dalam kerja bidang it sedang noob kerja sesuai bidang suka bingung bahas saran jelas lebih contoh umum
59,"mantab betul si bapak kalau mengajar mudah dimengerti, kalau tidak mengerti langsung diajarin sampe akar.",Positif,mantab betul kalau ajar mudah erti langsung ajar akar
60,Harap memberikan nilai yang cukup dan sesuai,Negatif,harap beri nilai cukup sesuai
61,"kalau mengajar sangat asik pak, hanya saja waktu belajar sering tidak sesuai karena bapak sering kemacetan juga kan naik mobil. sarannya mohon langsung kabarin salah satu mahasiswa dikelas kalau kiranya telat pak kasian mahasiswanya digantungin nunggu kepastian",Positif,kalau ajar sangat asik waktu belajar sering sesuai macet naik mobil saran mohon langsung kabar salah satu mahasiswa kelas kira telat mahasiswa gantung nunggu pasti
62,Terima kasih atas pengetahuan yang diberikan,Positif,terima kasih atas tahu beri
63,"mantab bu, penyampaiannya mudah, asik dan ga tegang. jadi no kritik saya",Positif,mantab mudah asik tegang kritik
64,Agar lebih diperjelas dalam memberikan penjelasan terhadap mahasiswa yang belum paham,Negatif,lebih jelas beri hadap mahasiswa belum paham
65,kalau untuk teori saya masih kurang mengerti pak saat menjelaskan terlalu berbelit tapi untuk prekteknya mantab betul pak,Negatif,kalau teori kurang erti jelas lalu belit prektek mantab betul
66,Sangat menyenangkam bisa di ajar oleh beliau.,Positif,sangat senang ajar beliau
67,Terimakasih atas pemberian pengetahuan yang diberikan,Positif,terimakasih atas beri tahu
68,Kurang disiplin,Negatif,kurang disiplin
69,"Bagus, dosennya baik dan telaten",Positif,bagus dosen baik telaten
70,Leluasa berfikir,Positif,leluasa berfikir
71,Kurangnya dalam membantu mahasiswa,Negatif,kurang bantu mahasiswa
72,Materi yang disampaikan sudah bagus tetapi kurang penjelasan dari dosen,Negatif,materi bagus kurang jelas dosen
73,Sangat baik dalam pemberian materi,Positif,sangat baik beri materi
74,Makasih ibu paling penyabar ngajar nya,Positif,makasih paling sabar ajar
75,Enak  belajar  dengan bapak melatih wawasan politik yg sehat,Positif,enak ajar latih wawas politik sehat
76,"Izinkan mahasiswa untuk sholat, jangan malah dicuekin",Negatif,izin mahasiswa sholat jangan malah cuek
77,Jadwal kuliah terkadang berubah-ubah,Negatif,jadwal kuliah kadang ubah
78,Mantap jiwa dah Bu wibby ngajar nya ,Positif,mantap jiwa dah ajar
79,Materi yang disampaikan bagus tetapi kurang cara menyampaikannya,Negatif,materi bagus kurang cara sampai
80,Tegas dan memberi inovasi,Positif,tegas beri inovasi
81,"Materi yang disampaikan bagus, tetapi cara menyampaikannya kurang",Negatif,materi bagus cara kurang
82,Sangat menyenangkan bisa belajar dengannya,Positif,sangat senang ajar dengan
83,Memberi pelajaran yg baik lagi,Positif,beri ajar baik lagi
84,Sangat jelas saat mengajar,Positif,sangat jelas ajar
85,Saya suka proses pembelajarannya,Positif,suka proses ajar
86,"Terimakasih sudah mengajar saya dengan baik, sopan, dan cukup jelas.",Positif,terimakasih ajar baik sopan cukup jelas
87,Dosenya baik dan metode pembelajaran yang tidak membosankan,Positif,dosen baik metode ajar bosan
88,Cara pembelajaran yang unik,Positif,cara ajar unik
89,Singkat padat dan jelas,Positif,singkat padat jelas
90,"Kalau menjelaskan rumus sebisa mungkin secara detail, karena untuk mempermudah kami para mahasiswa/i untuk mengerti materi perkuliahan tersebut. Terima kasih",Positif,kalau jelas rumus mungkin cara detail mudah mahasiswa erti materi kuliah sebut terima kasih
91,"Saya suka cara mengajar pak aji, selalu mudah di ingat",Positif,suka cara ajar selalu mudah ingat
92,Cara penyanpaian materi bisa harus bisa membuat mahasiswa semangat untuk belajar,Positif,cara materi buat mahasiswa semangat ajar
93,"Mantap, setelah belajar matkul ini... saya semakin suka dengan pelajaranya",Positif,mantap ajar matkul makin suka ajar
94,"Selalu di tunggu pelajaranya, selalu menyenangkan",Positif,selalu tunggu pelajaran selalu senang
95,Cara pembelajaranya yang memuaskan,Positif,cara belajar muas
96,Mungkin segi kehadiran dengan materi saat ujian,Positif,mungkin segi hadir materi uji
97,Coba memberi materi yang tidak membingungkan,Negatif,coba beri materi bingung
98,Jangan terlalu cepat saat memberikan materi,Negatif,jangan terlalu cepat beri materi
99,"Tolong penyampaian materi kuliah nya lebih diperjelas lagi, jangan berbicara tentang materi A tapi yang jadi pembahasan malah materi Z. Mahasiswa/i jadi bingung dalam mempelajari mata kuliah ini. Terima kasih",Negatif,materi kuliah lebih jelas jangan bicara tentang materi bahas materi malah mahasiswa jadi bingung ajar mata kuliah terima kasih
100,"Dosen seperti ini yang saya inginkan di setiap matkul , TOLONG JADIKAN PAK BADRUL DOSEN TETAP DI TIF , KARENA BELIAU BEGITU BAIK DAN SUPPORT AKAN KEGIATAN HIMPUNAN TIF",Negatif,dosen ingin tiap matkul tetap tif begitu baik support giat himpunan tif
101,Kurang,Negatif,kurang
102,Kurang suka dengan cara bapak mengajar dan menyampaikannya kurang dan interaksi dengan mahasiswa di kelas kurang baik,Negatif,kurang suka cara ajar interaksi mahasiswa kelas kurang baik
103,JADIKAN PAK BADRUL SEBAGAI PEDOMAN DOSEN DOSEN LAINNYA,Positif,jadi bagai pedoman dosen lain
104,Terlalu cepat menyampaikan materi,Negatif,terlalu cepat materi
105,"Secara keselurahan , dosen jarang masuk dan materi tidak tepat pada matkul ini",Negatif,cara selurah dosen jarang masuk materi tepat matkul ini
106,Tugasnya mantap ...pake logika semua,Positif,tugas mantap logika semua
107,PRAKTEK AJA BISA DIITUNG JARI. Nilai boleh bagus tapi tidak dengan kekamampuan kita,Negatif,praktek aja itung jari nilai bagus mampu kita
108,Praktek yang melenceng,Negatif,praktek lenceng
109,"Bagus , tapi kurangi menulis",Negatif,bagus kurang tulis
110,Mohon untuk pengitungan absenya di perbaiki,Negatif,mohon pengitungan absen baik
111,sangat luar biasa,Positif,sangat luar biasa
112,lumayan,Positif,lumayan
113,alhamdulillah berkah,Positif,alhamdulillah berkah
114,"TIDAK MASALAH NILAI PADA MATA KULIAH INI STANDAR,KEDEPANNYA AKAN SAYA TINGKATKAN KEMBALI",Positif,masalah nilai mata kuliah standar depan tingkat kembali
115,"Sehat terus pak, kalo bisa kalo bapak gak masuk, adain kelas pengganti",Positif,sehat terus kalau masuk adain kelas
116,"Baik sekali, pak badrul selalu tepat waktu dan sesuai materi",Positif,baik sekali selalu tepat waktu sesuai materi
117,Terima kasih atas ilmu yang diajarkan,Positif,terima kasih atas ilmu ajar
118,tingkatkan kualitas,Positif,tingkat kualitas
119,harus jauh lebih baik lagi,Negatif,jauh lebih baik lagi
120,Semoga dapat memberikan inovasi-inovasi dalam mengajar matakuliah ini,Positif,moga beri inovasi ajar matakuliah ini
121,Sangat baik dan tertata rapih dalam pemberian materi,Positif,sangat baik tata rapih beri materi
122,"DOSEN INI MENGAJARKAN BAHWA SEBAGAI MAHASISWA TIDAK TERLALU MENAIKKAN STANDAR KUALITAS FORMAL,NAMUN BAGAIMANA CARANYA SEORANG MAHASISWA BISA BERPIKIR KRITIS DAN PEKA TERHADAP LINGKUNGAN SEKITAR",Negatif,dosen ajar bagai mahasiswa terlalu naik standar kualitas formal bagaimana cara orang pikir kritis peka hadap lingkung
123,sangat bermanfaat ilmunya yg diberikan kepada mahasiswanya,Positif,sangat manfaat ilmu beri mahasiswa
124,senang bisa belajar dengan dosen ini,Positif,senang ajar dosen ini
125,Saran agar mencari metode mengajar yg lebih menarik lagi agar mudah di pahami mahasiswa,Positif,saran cari metode ajar lebih tarik mudah paham mahasiswa
126,Sudah cukup untuk memberikan materi dalam pembelajaran,Positif,cukup beri materi ajar
127,suka cara mengajarnya,Positif,suka cara ajar
128,Saran untuk mata kuliah ini agar lebih mengeksplor lagi tentang pkn yg sedang terjadi saat ini,Negatif,saran mata kuliah lebih eksplor pkn sedang jadi saat
129,Dosen baik dalam pengajaran kurangnya jadwal selesai pengajaran,Positif,dosen baik ajar kurang jadwal selesai
130,Saran saya agar mencari metode mengajar yg lebih mudah di mengerti dan menyenangkan,Positif,saran cari metode ajar lebih mudah erti senang
131,"Penyampaian materi sangat susah dipahami. Dosen terlalu banyak menceritakan kejadian pribadi dibanding materi yang sedang diajarkan. Slide materi sering dilewati dengan dalih sudah paham yang sebenarnya sama sekali belum dibuka maupun sama sekali tidak paham. Saya merasa dosen tidak memahami materi yang diajarkan. Penulisan bahasa pada soal ujian sangat sulit untuk dipahami, sebab soal yang ditulis hanyalah seluruh judul dan sub-judul pada suatu bab yang ditambahkan ""Jelaskan"" dan ""Apa Itu"".  Saya mohon pahami dengan seksama terlebih dahulu materi yang ingin diajarkan dan cari cara penjelasan yang cukup dimengerti oleh seluruh mahasiswa. Mahasiswa yang masuk ke prodi TIF ini bukan hanya yang",Positif,materi sangat susah paham dosen terlalu banyak cerita japribabanding sedang ajar slide sering lewat dalih benar sama sekali buka mausama rasa tulis bahasa soal uji sulit seluruh judul sub-judul suatu bab tambah jelas
132,Sudah baik dalam mengajari apa yang di ajarkan ke mahasiswa,Positif,baik ajar apa ajar mahasiswa
134,Penyampaian materi yang cukup baik. Dosen sangat paham dengan materi yang ingin disampaikan pada mahasiswa.,Positif,materi cukup baik dosen sangat paham
135,Kurang memberikan waktu untuk memahami praktikum,Negatif,kurang beri waktu paham praktikum
136,"Penyampaian materi sangat mudah dipahami, sehingga mahasiswa yang awam benar-benar paham dengan apa yang disampaikan. Dosen yang talkative dan komunikatif sangat membantu mahasiswa.",Positif,materi sangat mudah paham mahasiswa awam benar apa dosen talkative komunikatif
137,Cukup untuk mengajari pembahasan hanya kurangnya detail  dalam mengajar,Positif,cukup ajar bahas kurang detail
138,"Terimakasih bu, walaupun di pelajaran ibu kita haru berpikir logika yang kuat",Positif,terimakasih ajar haru pikir logika kuat
